group,path,width,height,lap_var,hf_ratio,resid_rms,lap_var_scaled,hf_ratio_scaled,resid_rms_scaled,noise_index
ALL,all_images_h2/prompt-frozen_steps-25/Walking_On_Sunshine_20250818_200654.png,1024,1024,0.038456,0.021184,0.044571,1.0,1.0,1.0,100.0
ALL,all_images_h2/prompt-frozen_steps-25/Walking_On_Sunshine_20250818_200814.png,1024,1024,0.02224,0.014493,0.037479,0.697404,0.608543,0.837616,71.45
ALL,all_images_h2/prompt-frozen_steps-25/Walking_On_Sunshine_20250818_200931.png,1024,1024,0.019504,0.013403,0.034836,0.57758,0.538332,0.70388,60.66
ALL,all_images_h2/prompt-frozen_steps-25/Walking_On_Sunshine_20250818_201049.png,1024,1024,0.026574,0.020678,0.042531,0.887232,1.0,1.0,96.24
ALL,all_images_h2/prompt-frozen_steps-25/Walking_On_Sunshine_20250818_201210.png,1024,1024,0.03185,0.026102,0.045909,1.0,1.0,1.0,100.0
ALL,all_images_h2/prompt-frozen_steps-25/Walking_On_Sunshine_20250818_201307.png,1024,1024,0.028949,0.016942,0.038722,0.991245,0.766276,0.900547,88.6
ALL,all_images_h2/prompt-frozen_steps-25/Walking_On_Sunshine_20250818_201405.png,1024,1024,0.028986,0.019046,0.041055,0.992854,0.901754,1.0,96.49
ALL,all_images_h2/prompt-frozen_steps-25/Walking_On_Sunshine_20250818_201503.png,1024,1024,0.014401,0.011398,0.031693,0.354065,0.409189,0.544823,43.6
ALL,all_images_h2/prompt-frozen_steps-25/Walking_On_Sunshine_20250818_201600.png,1024,1024,0.02734,0.015046,0.038887,0.920759,0.644168,0.908884,82.46
ALL,all_images_h2/prompt-frozen_steps-25/Walking_On_Sunshine_20250818_201658.png,1024,1024,0.022065,0.01388,0.036514,0.689761,0.569043,0.788807,68.25
